run_number,section,histogram,depletion_voltage
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Disk1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay2,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay3,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Lay4,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_HV1_Disk1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_InnerLadders_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_OuterLadders_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Disk1_Ring1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod1_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod2_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod3_Lay4_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay1_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay2_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay3_HV1,-1
100928,AvgCluCharge_vs_BiasVoltage,AvgCluCharge_vs_BiasVoltage_Mod4_Lay4_HV1,-1
